City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,kidal,18.4411,1.4078,17.03,17,84,5.55,ML,1707171055
203,tralee,52.2704,-9.7026,10.98,82,100,6.0,IE,1707170761
204,ampanihy,-24.7,44.75,22.39,93,87,3.13,MG,1707171056
205,udachny,66.4167,112.4,-23.64,83,100,2.07,RU,1707170919
206,kapsan-up,41.0903,128.2933,-9.44,96,100,0.6,KP,1707171056
207,zahedan,29.4963,60.8629,5.93,41,0,1.62,IR,1707171056
208,avarua,-21.2078,-159.775,30.03,79,40,8.23,CK,1707171057
209,la passe,45.5549,-0.8967,6.13,78,100,2.5,FR,1707170692
210,sisimiut,66.9395,-53.6735,-18.35,75,5,6.21,GL,1707171057
211,banswara,23.55,74.45,19.13,52,20,1.23,IN,1707171057
212,qaqortoq,60.7167,-46.0333,-21.13,69,0,2.8,GL,1707171057
213,hudiksvall,61.729,17.1036,-9.95,93,20,2.15,SE,1707171058
214,kizlyar,43.8469,46.715,3.03,80,68,2.69,RU,1707171058
215,iquique,-20.2208,-70.1431,28.02,75,3,0.9,CL,1707170639
216,jebrail,39.3992,47.0283,5.52,56,100,4.05,AZ,1707171059
217,berdigestyakh,62.0989,126.6992,-38.77,100,73,0.9,RU,1707171059
218,andovoranto,-18.95,49.1,24.32,89,100,1.99,MG,1707171059
219,ceeldheer,3.8488,47.1806,26.35,76,100,7.66,SO,1707171059
220,akureyri,65.6835,-18.0878,-11.2,96,100,2.32,IS,1707171060
221,manacapuru,-3.2997,-60.6206,28.02,81,99,1.49,BR,1707171060
222,gaigeturi,33.4644,126.3183,8.04,74,97,6.04,KR,1707171060
223,urzhar,47.093,81.6294,-10.02,69,74,2.06,KZ,1707170815
224,lautoka,-17.6167,177.4667,30.92,74,75,2.57,FJ,1707171061
225,souillac,-20.5167,57.5167,23.53,74,42,3.18,MU,1707171061
226,haiku-pauwela,20.9219,-156.3051,25.14,62,20,8.75,US,1707171062
227,coyhaique,-45.5752,-72.0662,19.97,40,20,2.06,CL,1707171062
228,chos malal,-37.3781,-70.2709,32.95,8,95,4.97,AR,1707171062
229,celestun,20.8667,-90.4,23.39,57,0,11.16,MX,1707171063
230,peniche,39.3558,-9.3811,13.58,93,100,0.53,PT,1707171063
231,red wing,44.5625,-92.5338,10.05,55,0,0.45,US,1707171063
232,san patricio,28.017,-97.5169,19.05,57,88,6.42,US,1707171064
233,pemangkat,1.1667,108.9667,26.0,87,53,2.01,ID,1707171064
234,lebu,-37.6167,-73.65,19.34,80,93,3.43,CL,1707171064
235,ola,59.5833,151.2833,-22.53,83,100,4.5,RU,1707171065
236,fortuna,40.5982,-124.1573,10.52,97,40,0.45,US,1707170765
237,ancud,-41.8697,-73.8203,16.67,80,86,4.56,CL,1707170769
238,tolanaro,-25.0319,46.9987,23.17,94,100,6.09,MG,1707171066
239,juazeiro do norte,-7.2131,-39.3153,28.24,35,50,0.45,BR,1707170974
240,ribeira grande,38.5167,-28.7,17.65,92,100,5.36,PT,1707170891
241,kimbe,-5.5502,150.1429,27.34,82,54,0.59,PG,1707171066
242,micheweni,-4.9667,39.8333,27.92,79,12,5.16,TZ,1707171067
243,howard springs,-12.497,131.047,28.82,95,62,2.43,AU,1707170887
244,xuchang,34.0167,113.8167,-5.06,97,98,0.89,CN,1707171067
245,paraibano,-6.4331,-43.9836,26.57,65,96,1.78,BR,1707171068
246,cacapava,-23.1008,-45.7069,26.49,86,86,0.54,BR,1707171068
247,darovskoy,58.77,47.9564,-19.48,100,100,1.29,RU,1707171069
248,lerwick,60.1545,-1.1494,3.0,74,100,10.65,GB,1707170904
249,codo,-4.4553,-43.8856,28.04,68,89,2.15,BR,1707171069
250,touros,-5.1989,-35.4608,27.71,77,28,5.66,BR,1707171018
251,moron,-34.6534,-58.6198,32.25,78,54,8.49,AR,1707171070
252,quellon,-43.1167,-73.6167,17.79,66,62,2.54,CL,1707171070
253,kone,-21.0595,164.8658,25.37,95,100,3.16,NC,1707170797
254,san rafael del yuma,18.4299,-68.6739,27.76,82,100,5.43,DO,1707171071
255,machico,32.7,-16.7667,19.35,78,20,3.6,PT,1707171072
256,rabaul,-4.1967,152.1721,27.79,75,98,1.43,PG,1707171072
257,darwin,-12.4611,130.8418,28.86,88,75,2.57,AU,1707170928
258,inhambane,-23.865,35.3833,24.74,87,3,1.79,MZ,1707171073
259,tongouson,5.0214,120.1328,26.44,82,71,2.26,PH,1707171073
260,irymple,-34.25,142.1667,16.72,57,0,1.34,AU,1707171074
261,kosh-agach,50.0,88.6667,-23.72,79,59,0.45,RU,1707171074
262,gloucester,51.8657,-2.2431,11.77,83,100,1.34,GB,1707171074
263,kununurra,-15.7667,128.7333,25.99,94,2,1.03,AU,1707170902
264,khartoum,15.5518,32.5324,21.01,14,38,7.61,SD,1707171075
265,namibe,-15.1961,12.1522,25.32,78,96,3.33,AO,1707170801
266,zaysan,47.4667,84.8667,-14.47,84,46,1.18,KZ,1707171076
267,watertown,42.3709,-71.1828,3.92,34,0,4.63,US,1707171077
268,al ghayzah,16.2079,52.176,22.85,65,3,1.76,YE,1707171078
269,geraldton,-28.7667,114.6,20.23,34,72,3.6,AU,1707171078
270,velikiy ustyug,60.7644,46.3106,-23.95,100,98,1.87,RU,1707171079
271,mejit,10.2753,170.8646,26.66,82,91,8.24,MH,1707171080
272,hirara,24.8,125.2833,18.25,77,100,8.44,JP,1707170819
273,mhamid,29.82,-5.72,12.05,32,78,2.38,MA,1707171082
274,severo-yeniseyskiy,60.3725,93.0408,-14.12,97,60,2.24,RU,1707171082
275,richards bay,-28.783,32.0377,23.21,88,91,1.91,ZA,1707170888
276,kapa'a,22.0752,-159.319,26.99,63,40,8.75,US,1707171085
277,rwamagana,-1.9487,30.4347,18.69,90,4,1.13,RW,1707171087
278,cide,41.8921,33.0044,11.18,86,95,6.86,TR,1707171088
279,papao,-17.75,-149.55,27.82,87,100,10.56,PF,1707171088
280,kolpashevo,58.3131,82.9089,-6.05,86,100,5.81,RU,1707171089
281,impfondo,1.6381,18.0667,24.33,43,86,1.34,CG,1707171091
282,sao gabriel da cachoeira,-0.1303,-67.0892,26.31,95,94,0.64,BR,1707171092
283,polyarnyy,69.1989,33.4478,-18.71,100,98,3.14,RU,1707171092
284,bozoum,6.3193,16.3799,22.55,24,27,1.79,CF,1707171093
285,nova vicosa,-17.8919,-39.3719,26.14,83,69,3.7,BR,1707171094
286,nuuk,64.1835,-51.7216,-12.66,78,75,5.66,GL,1707170911
287,wailua homesteads,22.0669,-159.378,26.24,64,40,8.75,US,1707170926
288,del rio,29.3627,-100.8968,21.06,35,20,7.2,US,1707171095
289,asosa,10.0667,34.5333,20.02,31,96,2.11,ET,1707171096
290,makurazaki,31.2667,130.3167,9.5,71,33,4.64,JP,1707171096
291,kingston,17.997,-76.7936,25.53,96,100,7.72,JM,1707171096
292,uturoa,-16.7333,-151.4333,27.86,85,100,11.69,PF,1707170924
293,magistral'nyy,56.1725,107.4458,-11.46,86,100,1.97,RU,1707171097
294,vilyuysk,63.7553,121.6247,-38.33,100,87,1.34,RU,1707170930
295,leua,48.2156,18.6071,9.72,70,59,4.97,SK,1707170943
296,kiffa,16.6166,-11.4045,24.67,9,5,5.49,MR,1707171099
297,san pedro,14.35,121.0167,25.11,88,20,1.79,PH,1707170808
298,broome,42.2506,-75.833,3.63,64,0,5.66,US,1707171099
299,indramayu,-6.3264,108.32,25.49,89,98,2.99,ID,1707171100
300,oral,51.2333,51.3667,0.27,98,100,6.25,KZ,1707171100
301,nyurba,63.2842,118.3319,-30.84,100,99,0.79,RU,1707171101
302,buenos aires,-34.6132,-58.3772,31.1,78,0,8.75,AR,1707170809
303,victorica,-36.2151,-65.4359,37.24,25,82,3.95,AR,1707171101
304,pandan,14.0453,124.1694,25.34,86,79,5.58,PH,1707171102
305,portland,45.5234,-122.6762,9.78,93,100,4.12,US,1707170631
306,mecca,21.4267,39.8261,17.88,51,83,3.08,SA,1707171011
307,markaz-e hukumat-e darweshan,31.1323,64.1934,8.91,25,0,3.75,AF,1707171103
308,saint-philippe,-21.3585,55.7679,21.77,78,91,3.59,RE,1707171103
309,greenville,35.6127,-77.3663,13.09,42,0,4.12,US,1707170876
310,san antonio de pale,-1.4014,5.6325,27.75,75,79,2.43,GQ,1707171104
311,rio grande,-32.035,-52.0986,26.06,82,68,5.59,BR,1707170892
312,huarmey,-10.0681,-78.1522,26.16,73,33,3.4,PE,1707171104
313,changyon,38.2508,125.0961,-3.14,96,91,1.15,KP,1707171105
314,tazovsky,67.4667,78.7,-25.1,100,63,3.99,RU,1707170916
315,alofi,-19.0595,-169.9187,27.94,74,75,5.66,NU,1707170824
316,sangin,32.0728,64.8359,7.16,30,0,2.55,AF,1707171105
317,weno,7.4515,151.8468,27.5,70,64,9.84,FM,1707171106
318,piti village,13.4626,144.6933,27.49,78,75,5.66,GU,1707171106
319,linxia chengguanzhen,35.6003,103.2064,-5.94,92,100,1.32,CN,1707171106
320,pangai,-19.8,-174.35,27.07,77,79,8.37,TO,1707171107
321,bandarbeyla,9.4942,50.8122,25.13,78,62,5.67,SO,1707171107
322,south sioux city,42.4739,-96.4136,8.44,70,0,3.6,US,1707171107
323,vrangel',42.7297,133.0839,-8.89,59,96,2.18,RU,1707171108
324,vernon,50.2581,-119.2691,1.2,87,100,1.28,CA,1707170944
325,hongjiang,27.11,109.9956,-0.07,96,100,1.52,CN,1707171108
326,ketchikan,55.3422,-131.6461,4.63,81,40,6.69,US,1707171108
327,nola,40.922,14.5329,13.68,78,67,1.15,IT,1707171109
328,glendive,47.1053,-104.7125,7.79,65,40,0.0,US,1707171109
